證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,漲跌幅
1590,亞德客-KY,790066,1177,687399799,885.0,888.0,857.0,864.0,4.0,862.00,3,864.00,12,24.09,0.0
1597,直得,5333061,5275,553932140,102.5,107.0,101.0,101.0,-1.0,101.00,185,102.00,16,123.17,-0.01
1598,岱宇,66632,83,1832823,27.35,27.75,27.35,27.75,0.15,27.40,19,27.85,3,0.0,0.01
1603,華電,626686,535,26525042,42.35,43.0,41.9,41.9,-0.55,41.90,15,41.95,1,13.74,-0.01
1604,聲寶,180127,157,5083798,28.25,28.25,28.15,28.25,0.15,28.15,17,28.25,46,13.26,0.01
1605,華新,5616146,3611,189878062,33.6,34.1,33.55,33.75,0.0,33.70,8,33.75,17,26.57,0.0
1608,華榮,3814842,2390,135778242,35.25,36.1,35.05,35.5,0.3,35.50,48,35.55,2,17.32,0.01
1609,大亞,23886961,16702,1343432839,56.2,57.2,55.4,55.6,-0.7,55.50,196,55.60,25,24.71,-0.01
1611,中電,2066987,1152,38756001,18.8,19.05,18.55,18.6,-0.2,18.60,62,18.65,13,33.82,-0.01
1612,宏泰,1120004,784,40888218,36.5,36.8,36.25,36.5,0.2,36.45,3,36.50,19,15.08,0.01
1614,三洋電,174282,140,6928007,40.25,40.25,39.5,39.9,-0.2,39.55,1,39.90,14,51.82,-0.0
1615,大山,432305,420,31261669,72.5,72.7,71.6,72.5,0.6,72.40,1,72.50,3,17.34,0.01
1616,億泰,1217287,741,25740410,20.9,21.5,20.65,21.1,0.2,21.10,5,21.15,13,24.53,0.01
1617,榮星,1070293,743,25529988,23.8,24.45,23.25,23.45,-0.3,23.40,4,23.45,10,123.42,-0.01
1618,合機,3269907,2770,163214041,49.3,50.8,49.0,49.65,0.25,49.65,21,49.70,7,17.3,0.01
1626,艾美特-KY,83460,222,1308716,15.7,15.75,15.55,15.75,-0.1,15.75,2,15.80,1,0.0,-0.01
1702,南僑,1949280,1623,106831166,55.1,55.5,54.2,54.5,-0.9,54.50,15,54.60,96,10.42,-0.02
1707,葡萄王,260932,374,36714603,140.0,141.5,140.0,140.5,1.0,140.00,19,140.50,1,14.65,0.01
1708,東鹼,4285374,2674,166598250,38.9,39.4,38.25,38.8,0.15,38.80,26,38.85,10,13.96,0.0
1709,和益,1949640,1086,45990885,23.3,23.85,23.25,23.55,0.35,23.50,33,23.60,23,17.07,0.02
1710,東聯,447149,254,7718142,17.4,17.4,17.1,17.3,0.1,17.25,4,17.30,10,0.0,0.01
1711,永光,14137512,7144,303813263,21.0,22.0,20.55,21.5,1.05,21.45,21,21.50,131,61.43,0.05
1712,興農,505903,503,21409540,42.45,42.6,42.15,42.2,-0.1,42.15,12,42.20,3,17.37,-0.0
1713,國化,149534,158,8597562,57.4,58.0,57.0,58.0,0.5,57.60,4,58.00,1,15.38,0.01
1714,和桐,1503994,840,13405130,8.85,8.97,8.84,8.9,0.05,8.90,12,8.91,2,16.18,0.01
1717,長興,884160,579,26033971,29.15,29.6,29.15,29.5,0.25,29.45,7,29.50,38,18.32,0.01
1718,中纖,4876343,1771,39669632,8.11,8.21,8.08,8.15,-0.01,8.13,1,8.15,9,0.0,-0.0
1720,生達,473805,537,31496995,66.6,66.8,66.2,66.6,0.3,66.50,2,66.60,1,13.93,0.0
1721,三晃,2842891,1394,44222209,15.05,15.8,14.9,15.6,0.5,15.55,12,15.60,1,0.0,0.03
1722,台肥,1909075,1191,120686730,62.7,63.5,62.5,63.3,0.7,63.20,6,63.30,22,39.07,0.01
1723,中碳,526013,546,51948782,98.1,99.1,98.1,99.0,0.9,98.80,2,99.00,5,18.37,0.01
1725,元禎,197156,248,8361904,42.6,43.0,41.7,42.45,-0.15,42.45,5,42.50,11,30.99,-0.0
1726,永記,22153,30,1745697,78.5,79.1,78.2,79.1,0.9,78.20,2,79.10,1,14.87,0.01
1727,中華化,540291,432,15777278,29.0,29.7,28.0,29.25,0.15,29.20,8,29.25,1,146.25,0.01
1730,花仙子,21643,45,1165304,53.8,54.0,53.7,54.0,0.2,53.70,13,54.00,2,15.47,0.0
1731,美吾華,88607,98,2031663,22.85,23.0,22.85,22.95,0.1,22.90,14,22.95,2,17.65,0.0
1732,毛寶,271011,226,7950138,29.2,29.75,29.0,29.0,-0.2,29.00,15,29.15,2,241.67,-0.01
1733,五鼎,78390,80,2318222,29.4,29.8,29.4,29.75,0.1,29.50,33,29.80,2,27.29,0.0
1734,杏輝,235675,210,8658890,36.85,36.85,36.65,36.7,0.0,36.70,28,36.75,10,17.07,0.0
1735,日勝化,25301,27,456168,17.95,18.1,17.95,18.0,0.0,17.90,1,18.00,2,16.98,0.0
1736,喬山,1654601,1890,203725630,122.5,127.0,120.5,121.5,-1.0,121.50,7,122.00,3,31.23,-0.01
1737,臺鹽,422064,334,14090267,33.35,33.5,33.3,33.45,0.15,33.40,2,33.45,7,18.69,0.0
1752,南光,437186,400,20391507,46.1,47.1,46.1,46.65,1.05,46.65,1,46.75,1,42.41,0.02
1760,寶齡富錦,100185,132,9450744,94.9,94.9,94.0,94.0,-0.2,94.00,13,94.30,1,79.66,-0.0
1762,中化生,151227,307,6741604,44.8,44.85,44.3,44.6,0.0,44.50,2,44.60,2,29.34,0.0
1773,勝一,419833,453,61662369,147.5,150.5,145.0,146.5,-1.0,145.50,11,146.50,1,22.03,-0.01
1776,展宇,15010,13,263925,17.6,17.65,17.5,17.65,0.15,17.50,1,17.65,8,21.79,0.01
1783,和康生,382903,271,17109255,44.35,45.2,43.75,45.1,1.05,44.90,3,45.10,4,27.33,0.02
1786,科妍,4452656,3559,614116274,136.5,140.5,135.0,136.5,0.0,136.00,31,136.50,23,43.61,0.0
1789,神隆,390031,382,9886805,25.4,25.5,25.25,25.35,0.0,25.25,18,25.35,10,49.71,0.0
1795,美時,2300369,9400,652294938,284.5,287.0,280.0,281.5,-3.0,281.00,24,281.50,2,18.59,-0.01
1802,台玻,3208313,1802,51240625,16.05,16.1,15.9,16.0,0.1,16.00,74,16.05,83,100.0,0.01
1805,寶徠,1238889,1074,28436914,24.25,24.25,22.5,22.75,-1.55,22.75,9,22.80,15,0.0,-0.06
